feature,stability_score,drift_score,predictive_power,cross_token_consistency,token_coverage,score,keep_decision
kst,0.6757,3.648,0.0664,1.0,1.0,0.4293,REMOVE (high drift)
gk_vol,0.5017,2.9268,0.196,1.0,1.0,0.4289,REMOVE (high drift)
dist_avwap_100,0.653,4.2186,0.0823,1.0,1.0,0.4288,REMOVE (high drift)
aroon_osc,0.6722,1.0628,0.044,0.8,1.0,0.4261,REMOVE (high drift)
fib_dist_382,0.6096,4.1111,0.103,1.0,1.0,0.4241,REMOVE (high drift)
volume_decay_mean_24,0.6029,2.902,0.108,1.0,0.8,0.4241,REMOVE (high drift)
eom_14,0.7014,1.1724,0.0537,0.75,0.8,0.4233,REMOVE (high drift)
macd_signal,0.6548,5.0491,0.0637,1.0,1.0,0.4219,REMOVE (high drift)
acc_dist,0.3774,6.4504,0.2686,1.0,0.6,0.4207,REMOVE (high drift)
ppo,0.6408,5.6423,0.0708,1.0,1.0,0.4206,REMOVE (high drift)
quantile_position,0.6567,2.445,0.0581,1.0,1.0,0.4202,REMOVE (high drift)
dist_ema_100,0.6408,4.5259,0.0684,1.0,1.0,0.4196,REMOVE (high drift)
dist_ema_50,0.6602,3.135,0.0532,1.0,1.0,0.4193,REMOVE (high drift)
kvo_signal,0.6639,2.9496,0.0472,1.0,1.0,0.4181,REMOVE (high drift)
trix_15,0.645,5.7661,0.061,1.0,1.0,0.4179,REMOVE (high drift)
kvo,0.7343,0.9931,0.0658,0.6,1.0,0.417,KEEP
returns_1h_decay_mean_24,0.6239,3.6719,0.0626,1.0,1.0,0.4122,REMOVE (high drift)
close_decay_mean_24,0.6225,3.5467,0.0616,1.0,1.0,0.4114,REMOVE (high drift)
ppo_signal,0.62,4.8754,0.0623,1.0,1.0,0.4109,REMOVE (high drift)
dist_avwap_200,0.5369,4.4502,0.0897,1.0,1.0,0.397,REMOVE (high drift)
price_zscore_200,0.576,4.4088,0.0546,1.0,1.0,0.3946,REMOVE (high drift)
obv,0.6865,1.0484,0.0387,0.6,1.0,0.389,REMOVE (high drift)
dist_ema_200,0.5406,5.8385,0.0661,1.0,1.0,0.3886,REMOVE (high drift)
volume_decay_std_24,0.4894,3.5625,0.0731,1.0,0.8,0.3761,REMOVE (high drift)
vwap_delta_1,0.5682,2.1708,0.095,0.8,1.0,0.3684,REMOVE (high drift)
vwap_delta_4,0.555,3.5355,0.1044,0.8,1.0,0.3683,REMOVE (high drift)
close_decay_std_24,0.6779,3.5685,0.111,0.6,1.0,0.3678,REMOVE (high drift)
vwap_delta_12,0.4948,5.8196,0.0854,0.8,1.0,0.3426,REMOVE (high drift)
ema_50_200_cross,0.6565,4.5236,0.0493,0.6,1.0,0.3367,REMOVE (high drift)
vwap_decay_std_24,0.4469,8.0585,0.0269,0.8,1.0,0.3048,REMOVE (high drift)
fib_range_pct,0.4174,3.9516,0.1164,0.6,1.0,0.2918,REMOVE (high drift)
rolling_resistance,0.0612,16.295,0.2055,0.8,1.0,0.2606,REMOVE (high drift)
btc_dist_ema200,0.2879,12.3217,0.0557,0.75,0.8,0.2587,REMOVE (high drift)
keltner_upper,0.0433,18.2157,0.1968,0.8,1.0,0.2517,REMOVE (high drift)
vwap,0.0556,17.9074,0.1755,0.8,1.0,0.2469,REMOVE (high drift)
rolling_vwap_24,0.0335,17.2174,0.1898,0.8,1.0,0.246,REMOVE (high drift)
tema_21,0.057,16.9846,0.1709,0.8,1.0,0.2455,REMOVE (high drift)
dema_21,0.0501,16.9385,0.1737,0.8,1.0,0.2445,REMOVE (high drift)
se_mid,0.0542,17.0728,0.1678,0.8,1.0,0.2434,REMOVE (high drift)
ema_200,0.0,20.7747,0.2077,0.8,1.0,0.2431,REMOVE (high drift)
kama_10,0.0307,16.7588,0.1835,0.8,1.0,0.2426,REMOVE (high drift)
ichimoku_tenkan,0.032,14.554,0.1782,0.8,1.0,0.2409,REMOVE (high drift)
hma_20,0.0501,16.5316,0.1647,0.8,1.0,0.2409,REMOVE (high drift)
ema_21,0.0223,15.9603,0.1838,0.8,1.0,0.2402,REMOVE (high drift)
ema_9,0.0223,17.1847,0.1784,0.8,1.0,0.238,REMOVE (high drift)
supertrend,0.0544,17.3905,0.1478,0.8,1.0,0.2354,REMOVE (high drift)
ema_50,0.007,19.8471,0.1787,0.8,1.0,0.2336,REMOVE (high drift)
ema_100,0.0,21.3241,0.1716,0.8,1.0,0.2286,REMOVE (high drift)
avwap_200,0.0,23.4411,0.1561,0.8,1.0,0.2225,REMOVE (high drift)
ichimoku_senkou_a,0.11,15.634,0.1429,0.6,1.0,0.2102,REMOVE (high drift)
ichimoku_senkou_b,0.1655,17.7519,0.0989,0.6,1.0,0.2092,REMOVE (high drift)
rolling_support,0.0904,18.3248,0.15,0.6,1.0,0.2071,REMOVE (high drift)
avwap_50,0.0445,19.4178,0.1771,0.6,1.0,0.2042,REMOVE (high drift)
ichimoku_kijun,0.0293,17.2577,0.182,0.6,1.0,0.2016,REMOVE (high drift)
vwap_decay_mean_24,0.032,15.2471,0.0789,0.8,1.0,0.2011,REMOVE (high drift)
keltner_lower,0.0209,19.9663,0.166,0.6,1.0,0.1927,REMOVE (high drift)
avwap_100,0.0112,21.0608,0.0885,0.6,1.0,0.1588,REMOVE (high drift)
